Company,Valuation,Funding,Select Investors,Country,Continent,Founders
Fanatics,$31B,$5B,Clearlake Capital Group,United States,North America,"Michael G. Rubin, Alan Trager, Mitch Trager"
Cruise,$30B,$9B,General Motors,United States,North America,"Kyle Vogt, Dan Kan"
Alibaba Bendi Shenghuo Fuwu Gongsi,$30B,$4B,Alibaba Group, SoftBank Vision Fund,China,"Jia Kang, Xuhao Zhang"
Chime,$25B,$2B,Sequoia Capital Global Equities,United States,North America,"Chris Britt, Ryan King"
Yangtze Memory Technologies,$23B,$7B,,China,Asia,Simon Yang
Epic Games,$23B,$8B,The Walt Disney Company,United States,North America,Tim Sweeney
BYJU'S,$22B,$5B,Qatar Investment Authority,India,Asia,"Byju Raveendran, Divya Gokulnath"
Envision Group,$21B,$2B,GIC, HSG,China,Lei Zhang
J&T Express,$20B,$5B,EWTP Arabia Capital,Indonesia,Asia,"Tony Chen, Jet Lee"
FNZ,$20B,$2B,CPP Investments, Motive Partners,United Kingdom,Adrian Durham
ChangXin Memory Technologies,$19B,$5B,,China,Asia,Not Found
JD Digits,$18B,$5B,APOFCO, CICC,China,"Cao Peng, Richard Liu"
Miro,$18B,$476M,ICONIQ Growth,United States,North America,"Andrey Khusid, Oleg Shardin"
Xiaohongshu,$17B,$918M,Temasek Holdings, Tencent,China,"Miranda Qu, Charlwin Mao"
Yuanfudao,$17B,$4B,YF Capital,China,Asia,"Ke Shuai, Xin Li, Yong Li"
Rippling,$17B,$2B,Coatue,United States,North America,"Parker Conrad, Prasanna Sankar"
Trendyol Group,$17B,$2B,General Atlantic, SoftBank Vision Fund,Turkey,Demet Mutlu
Yinwang Smart Technology,$16B,$3B,Seres Group,China,Asia,Not Found
Discord,$15B,$979M,Dragoneer Investment Group,United States,North America,"Jason Citron, Stanislav Vishnevskiy"
Gopuff,$15B,$3B,Robert Iger,United States,North America,"Yakir Gola, Rafael Ilishayev"
Genki Forest,$15B,$721M,Temasek Holdings,China,Asia,Binsen Tang
CloudKitchens,$15B,$1B,Saudi Arabia's Public Investment Fund,United States,North America,Travis Kalanick
Bitmain,$15B,$765M,Crimson Ventures,China,Asia,"Jihan Wu, Micree Zhan"
GAC Aion New Energy Automobile,$14B,$3B,,China,Asia,Not Found
Anduril Industries,$14B,$4B,Founders Fund, Sands Capital Ventures,United States,"Palmer Luckey, Trae Stephens, Brian Schimpf, Matt Grimm, Joseph Chen"
Scale AI,$14B,$2B,Accel,United States,North America,"Alexandr Wang, Lucy Guo"
OpenSea,$13B,$427M,Coatue, Paradigm,United States,"Devin Finzer, Alex Atallah"
Grammarly,$13B,$400M,Baillie Gifford, BlackRock,United States,"Max Lytvyn, Alex Shevchenko, Dmytro Lider"
Devoted Health,$13B,$2B,Fearless Ventures, GIC,United States,"Todd Park, Ed Park"
Celonis,$13B,$2B,Qatar Investment Authority,Germany,Europe,"Alex Rinke, Bastian Nominacher, Martin Klenk"
Ramp,$13B,$1B,Founders Fund, Khosla Ventures,United States,"Karim Atiyeh, Eric Glyman, Gene Lee"
Faire,$13B,$2B,Shopify,United States,North America,"Max Rhodes, Marcelo Cortes, Daniele Perito, Jeffrey Kolovson"
Figma,$13B,$749M,Durable Capital Partners,United States,North America,"Dylan Field, Evan Wallace"
Infinite Reality,$12B,$3B,,United States,North America,"John Acunto, Rodric David"
PhonePe,$12B,$3B,General Atlantic,India,Asia,"Sameer Nigam, Rahul Chari, Burzin Engineer"
GoodLeap,$12B,$0,,United States,North America,"Hayes Barnard, Matt Dawson"
Biosplice Therapeutics,$12B,$778M,aMoon Fund, Eventide,United States,Osman Kibar
Xingsheng Youxuan,$12B,$5B,Ontario Teachers' Pension Plan,China,Asia,"Mr. Zhang, Lihua Yue, Liu Huiyu, Zhou Yingjie"
Deel,$12B,$679M,Coatue,United States,North America,"Alex Bouaziz, Shuo Wang, Ofer Simon"
Northvolt,$12B,$4B,Caisse de Depot et Placement du Quebec,Sweden,Europe,"Peter Carlsson, Paolo Cerruti, Harald Mix, Carl Erik Lagercrantz"
Airtable,$12B,$1B,XN,United States,North America,"Howie Liu, Andrew Ofstad, Emmett Nicholas"
Dunamu,$12B,$741M,IMM Investment,South Korea,Asia,"Chi-Hyung Song, Hyoung-nyon Kim"
The Access Group,$12B,$1B,Hg, TA Associates,United Kingdom,Not Found
Notion,$10B,$343M,Coatue, Sequoia Capital,United States,"Ivan Zhao, Chris Prucha, Jessica Lam, Simon Last, Toby Schachman"
Alchemy,$10B,$564M,Lightspeed Venture Partners, Silver Lake,United States,"Nikil Viswanathan, Joe Lau"
Colossal Biosciences,$10B,$448M,Mark Walter, Thomas Tull,United States,"Ben Lamm, George Church"
KuCoin,$10B,$180M,Susquehanna International Group,Seychelles,Africa,"Michael Gan, Eric Don, Chun Gan, Ke Tang"
Digital Currency Group,$10B,$0,OMERS Ventures,United States,North America,Barry Silbert
Ripple,$10B,$294M,Tetragon Financial Group Limited,United States,North America,"Chris Larsen, Jed McCaleb"
Zuoyebang,$10B,$3B,FountainVest Partners, Tiger Global Management,China,Hou Jianbin
Chehaoduo,$10B,$4B,H Capital Advance, HSG,China,"Mark Yang, Sun Qing, Yang Haoyong, Zhang Xiaopei, Bai Rubing"
Talkdesk,$10B,$497M,Viking Global Investors,United States,North America,"Tiago Paiva, Cristina Fonseca"
Thrasio,$10B,$2B,Advent International, Silver Lake,United States,"Joshua Silberstein, Carlos Cashman"
Lalamove,$10B,$2B,Hillhouse Investment, HSG,Hong Kong,"John H K Tang, Santit Jirawongkraisorn, Shing Yuk Chow, Gary Hui"
Mahindra Electric Automobile,$10B,$388M,Temasek Holdings,India,Asia,"J. C. Mahindra, K. C. Mahindra, Chetan Maini"
Gusto,$10B,$746M,Friends & Family Capital,United States,North America,"Josh Reeves, Tomer London, Edward Kim"
Navan,$9B,$1B,Greenoaks,United States,North America,"Ariel Cohen, Ilan Twig"
Tata Passenger Electric Mobility,$9B,$989M,TPG Rise Climate Fund,India,Asia,Not Found
N26,$9B,$2B,Coatue, Third Point Ventures,Germany,"Valentin Stalf, Maximilian Tayenthal"
Tanium,$9B,$775M,Salesforce Ventures,United States,North America,"David Hindawi, Orion Hindawi"
Yanolja,$9B,$2B,SoftBank Vision Fund,South Korea,Asia,"Lee Su Jin, Lee Seo Jin"
Perplexity,$9B,$665M,IVP, Wayra,United States,Aravind Srinivas
VAST Data,$9B,$381M,Fidelity,United States,North America,"Shachar Fienblit, Renen Hallak"
Niantic,$9B,$770M,Coatue,United States,North America,"John Hanke, Phil Keslin"
Anysphere,$9B,$1B,Thrive Capital,United States,North America,Not Found
HeyTea,$9B,$594M,Coatue, Hillhouse Investment,China,Neo Nie Yunchen
Octopus Energy,$9B,$3B,CPP Investments,United Kingdom,Europe,"Greg Jackson, Stuart Jackson, James Eddison"
EV Co,$9B,$486M,,India,Asia,"Martin Eberhard, Marc Tarpenning"
Ping An Healthcare Management,$9B,$1B,SBI Group, SoftBank Vision Fund,China,Not Found
Personio,$8B,$724M,Greenoaks,Germany,Europe,"Hanno Renner, Roman Schumacher, Arseniy Vershinin, Jonas Rieke"
Bolt,$8B,$2B,Fidelity, Sequoia Capital,Estonia,"Markus Villig, Martin, Oliver Leisalu"
Tipalti,$8B,$549M,G Squared,United States,North America,"Chen Amit, Oren Zeev"
The CrownX,$8B,$750M,Alibaba Group, BPEA EQT,Vietnam,Not Found
DJI,$8B,$105M,Accel,China,Asia,Frank Wang
Flexport,$8B,$2B,Shopify,United States,North America,Ryan Petersen
Fireblocks,$8B,$1B,D1 Capital Partners, Spark Capital,United States,"Michael Shaulov, Pavel Berengoltz, Idan Ofrat"
THG Ingenuity,$8B,$2B,SoftBank,United Kingdom,Europe,Not Found
FalconX,$8B,$474M,B Capital, GIC,United States,"Raghu Yarlagadda, Prabhakar Reddy"
StarkWare Industries,$8B,$261M,Alameda Research, Coatue,Israel,"Eli Ben-Sasson, Michael Riabzev, Uri Kolodny, Alessandro Chiesa"
Dream11,$8B,$1B,Alpha Wave Global, D1 Capital Partners,India,"Harsh Jain, Bhavit Sheth"
Caris Life Sciences,$8B,$1B,Braidwell,United States,North America,David D. Halbert
RingCentral Events,$8B,$1B,Altimeter Capital, Arena Holdings,United Kingdom,"Vlad Shmunis, Vlad Vendrow, Johnny Boufarhat"
CALB,$8B,$2B,,China,Asia,Not Found
AutoStore,$8B,$0,,Norway,Europe,"Jakob Hatteland, Ingvar Hognaland"
Circle,$8B,$1B,Coinbase,United States,North America,Not Found
Leapmotor,$8B,$3B,Stellantis,China,Asia,Not Found
Jiedaibao,$8B,$694M,,China,Asia,Huang Shuo
Dapper Labs,$8B,$613M,Coatue,Canada,North America,"Roham Gharegozlou, Dieter Shirley, Mik Naayem"
Netskope,$8B,$1B,Morgan Stanley,United States,North America,"Sanjay Beri, Lebin Cheng, Ravi Ithal, Krishna Narayanaswamy"
Flock Safety,$8B,$656M,Andreessen Horowitz,United States,North America,Garrett Langley
Snyk,$7B,$1B,ServiceNow,United States,North America,"Guy Podjarny, Assaf Hefetz, Danny Grander"
Carta,$7B,$1B,Silver Lake,United States,North America,"Henry Ward, Manu Kumar"
Brex,$7B,$1B,Tiger Global Management,,,"Henrique Dubugras, Pedro Franceschi"
Kakao Japan,$7B,$652M,Anchor Equity Partners,Japan,Asia,"Kim Beom-su, Manson Yeo, Sean Joh"
Gong,$7B,$583M,Franklin Templeton,United States,North America,"Amit Bendov, Eilon Reshef"
Blockchain.com,$7B,$600M,Kingsway Capital,United Kingdom,Europe,"Peter Smith, Nicolas Cary"
ConsenSys,$7B,$660M,ParaFi Capital,United States,North America,Joseph Lubin
Ro,$7B,$1B,ShawSpring Partners,United States,North America,"Zachariah Reitano, Saman Rahmanian, Rob Schutz"
Meicai,$7B,$1B,Hillhouse Investment, Shunwei Capital,China,"Xu Xueyin, Liu Chuanjun"
Constellation Automotive Group,$7B,$1B,,United Kingdom,Europe,Not Found
Attentive,$7B,$863M,Coatue,United States,North America,"Brian Long, Andrew Jones"
Cohesity,$7B,$810M,The Carlyle Group,United States,North America,Mohit Aron
The Boring Company,$7B,$908M,Sequoia Capital, Vy Capital,United States,Elon Musk
Wonder,$7B,$2B,New Enterprise Associates,United States,North America,Marc Lore
NYDIG,$7B,$1B,WestCap,United States,North America,"Ross Stevens, Robert Gutmann"
Impossible Foods,$7B,$2B,Mirae Asset,United States,North America,"Patrick O. Brown, Pat Brown"
Toss,$7B,$1B,Tonic Private Equity,South Korea,Asia,Lee Seung-gun
1Password,$7B,$920M,ICONIQ Growth,Canada,North America,"Natalia Karimov, Roustem Karimov, Dave Teare, Sara Teare"
Automation Anywhere,$7B,$853M,Arctic Ventures, Mindrock Capital,United States,"Mihir Shukla, Neeti Mehta Shukla, Ankur Kothari, Rushabh Parmani"
WeDoctor,$7B,$1B,HSG, Millennium Management,China,"Liao Jieyuan, Zhang Xiaochun"
Klarna,$7B,$4B,SoftBank Vision Fund,Sweden,Europe,"Sebastian Siemiatkowski, Victor Jacobsson, Niklas Adalberth"
Ola,$7B,$4B,Arrow Capital Partners, Axis Asset Management Company,India,"Bhavish Aggarwal, Ankit Bhati"
Ziroom,$7B,$2B,SoftBank Vision Fund,China,Asia,"Xiong Lin, James Liang"
Razorpay,$7B,$742M,Alkeon Capital, Lone Pine Capital,India,"Shashank Kumar, Harshil Mathur"
Snapdeal,$7B,$2B,Anand Piramal,India,Asia,"Kunal Bahl, Rohit Bansal"
Mollie,$6B,$928M,Blackstone Group,The Netherlands,Europe,Adriaan Mol
CRED,$6B,$801M,GIC,India,Asia,Kunal Shah
Doctolib,$6B,$815M,Eurazeo,France,Europe,"Stanislas Niox-Chateau, Franck Tetzlaff, Ivan Schneider, Jessy Bernal, Steve Abou Rjeily, Thomas Landais"
GTA Semiconductor,$6B,$3B,SAIC Venture Capital,China,Asia,Josh
DataRobot,$6B,$1B,Altimeter Capital, Tiger Global Management,United States,"Jeremy Achin, Tom De Godoy"
Upgrade,$6B,$587M,Coatue, DST Global,United States,Renaud Laplanche
Hinge Health,$6B,$826M,Coatue, Tiger Global Management,United States,"Daniel Perez, Gabriel Mecklenburg"
Hello TransTech,$6B,$2B,Alibaba Group, Ant Group,China,"Han Mei, Jiang Wei, Li Kaizhu, Yang Lei"
Plaid,$6B,$1B,Franklin Templeton,United States,North America,"Zachary Perret, William Hockey"
Benchling,$6B,$412M,Altimeter Capital, Franklin Templeton,United States,"Sajith Wickramasekara, Ashu Singhal, Cory Lewis"
Mistral AI,$6B,$1B,DST Global, General Catalyst,France,"Arthur Mensch, Guillaume Lample, Timothée Lacroix"
CMC,$6B,$2B,Alibaba Group, Tencent,China,"Guglielmo Marconi, Dr. Ida S. Scudder"
Lianjia,$6B,$1B,Vanke,China,Asia,Zuo Hui
Changxin New Bridge,$6B,$2B,China Integrated Circuit Industry Investment Fund (CICF),China,Asia,Not Found
Nuro,$6B,$2B,Tiger Global Management,United States,North America,"Jiajun Zhu, Dave Ferguson"
iCapital Network,$6B,$729M,Bank of America,United States,North America,"Dan Vene, John Robertshaw, Nick Veronis, Phil Pool"
Didi Woya,$6B,$1B,Guangzhou Automobile Group,China,Asia,"Will Wei Cheng, Jean Qing Liu"
Biocon Biologics,$6B,$482M,Serum Life Sciences,India,Asia,Kiran Mazumdar-Shaw
Applied Intuition,$6B,$602M,Elad Gil, Lux Capital,United States,"Qasar Younis, Peter Ludwig"
Commure,$6B,$621M,General Catalyst,United States,North America,"Diede van Lamoen, Tanay Tandon, Hemant Taneja"
Grafana Labs,$6B,$805M,Lightspeed Venture Partners,United States,North America,"Torkel Ödegaard, Raj Dutt, Anthony Woods"
Animoca Brands,$6B,$811M,Futureverse,Hong Kong,Asia,"Yat Siu, David Kim"
Monzo,$6B,$2B,CapitalG,United Kingdom,Europe,"Tom Blomfield, Jonas Huckestein, Jason Bates, Paul Rippon, Gary Dolman"
Lyra Health,$6B,$910M,Dragoneer Investment Group,United States,North America,"David Ebersman, Dena Bravata"
SandboxAQ,$6B,$950M,,United States,North America,"Thomas Tull, Frank Vettese, David Siegel, Bradley Bloom, Jack Hidary, Eric Schmidt"
Vice Media,$6B,$1B,TPG,United States,North America,"Shane Smith, Suroosh Alvi, Gavin McInnes"
Cityblock Health,$6B,$891M,SoftBank,United States,North America,"Toyin Ajayi, Iyah Romm, Bay Gross"
Workato,$6B,$415M,Battery Ventures,United States,North America,"Vijay Tella, Harish Shetty, Gautham Viswanathan, Dimitris Kogias, Alexey Timanovskiy"
Back Market,$6B,$1B,Sprints,France,Europe,"Thibaud Hug de Larauze, Quentin Le Brouster, Vianney Vaute"
RELEX Solutions,$6B,$803M,BP,Finland,Europe,"Mikko Kärkkäinen, Johanna Småros, Michael Falck"
Postman,$6B,$433M,Insight Partners,United States,North America,"Abhinav Asthana, Ankit Sobti, Abhijit Kane"
Fivetran,$6B,$728M,Andreessen Horowitz,United States,North America,"George Fraser, Taylor Brown"
Contentsquare,$6B,$1B,Sixth Street,France,Europe,Jonathan Cherki
SVOLT,$6B,$3B,Bank of China Group Investment,China,Asia,Not Found
Mambu,$6B,$448M,EQT,Germany,Europe,"Eugene Danilkis, Frederik Pfisterer"
Airwallex,$6B,$902M,HSG, Square Peg Capital,Australia,"Jack Zhang, Max Li, Lucy Liu, Xijing Dai"
Vuori,$6B,$445M,SoftBank Vision Fund,United States,North America,Joe Kudla
Cohere,$6B,$935M,Alumni Ventures, PSP Investments,Canada,"Aidan Gomez, Ivan Zhang, Nick Frosst"
Helion Energy,$5B,$1B,Nucor Corporation,United States,North America,"David Kirtley, Chris Pihl"
Vinted,$5B,$562M,EQT,Lithuania,Europe,"Milda Mitkutė, Justas Janauskas"
Helsing,$5B,$830M,General Catalyst,Germany,Europe,"Torsten Reil, Gundbert Scherf, Niklas Köhler"
Trade Republic,$5B,$1B,Ontario Teachers' Pension Plan,Germany,Europe,"Christian Hecker, Thomas Pischke, Marco Cancellieri"
Rappi,$5B,$2B,T. Rowe Price,Colombia,South America,"Simón Borrero, Sebastian Mejía, Felipe Villamarín"
Sierra Space,$5B,$2B,Kanematsu Corporation, MUFG Bank,United States,"Eren Ozmen, Fatih Ozmen"
Quantinuum,$5B,$300M,JP Morgan Chase,United States,North America,Ilyas Khan
Shield AI,$5B,$1B,Hanwha Aerospace, L3Harris Technologies,United States,"Brandon Tseng, Ryan Tseng"
Odoo,$5B,$513M,General Atlantic,Belgium,Europe,Not Found
Collibra,$5B,$597M,Sequoia Capital Global Equities, Sofina,Belgium,"Felix Van de Maele, Stijn Christiaens, Pieter De Leenheer"
Redwood Materials,$5B,$2B,Capricorn Investment Group, Goldman Sachs Asset Management,United States,"J. B. Straubel, Andrew Stevenson"
Xiaodu,$5B,$0,China Structural Reform Fund,China,Asia,Not Found
6sense,$5B,$426M,Blue Owl, MSD Partners,United States,"Amanda Kahlow, Premal Shah, Viral Bajaria"
Oura,$5B,$348M,Dexcom, Fidelity,Finland,"Petteri Lahtela, Kari Kivelä, Markku Koskela"
MTN Group Fintech,$5B,$199M,Mastercard,South Africa,Africa,Not Found
Abnormal Security,$5B,$534M,Wellington Management,United States,North America,"Evan Reiser, Sanjay Jeyakumar"
SambaNova Systems,$5B,$1B,SoftBank Vision Fund,United States,North America,"Kunle Olukotun, Rodrigo Liang, Chris Ré"
QuintoAndar,$5B,$755M,4equity - Media Ventures,Brazil,South America,"Gabriel Braga, André Penha"
Pine Labs,$5B,$963M,Vitruvian Partners,India,Asia,"Lokvir Kapoor, Rajul Garg, Tarun Upadhyay"
United Imaging Healthcare,$5B,$503M,SDIC Fund Management,China,Asia,"Xue Min, Zhang Qiang, Seungmook Lee"
C6 Bank,$5B,$2B,JP Morgan Chase,Brazil,South America,"Carlos Fonseca, Leandro Torres, Luiz Calicchio, Marcelo Kalim"
Hopper,$5B,$695M,Capital One Ventures,Canada,North America,"Frederic Lalonde, Joost Ouwerkerk, Dakota Smith"
OfBusiness,$5B,$746M,Cornerstone Ventures,India,Asia,"Asish Mohapatra, Bhuvan Gupta, Chandranshu Sinha, Nitin Jain, Ruchi Kalra, Srinath Ramakkrushnan, Vasant Sridhar"
VerSe Innovation,$5B,$2B,CPP Investments, Google,India,"Virendra Gupta, Umang Bedi, Shailendra Sharma"
Moon Active,$5B,$0,,Israel,Asia,"Shmuel Albin, Samuel Albin"
Zepz,$5B,$922M,Accel,United Kingdom,Europe,"Ismail Ahmed, Catherine Wines, Richard Igoe"
WeBank,$5B,$183M,Tencent,China,Asia,"Min Gu, Jing Li, David Ku, Nanqing Li, Tom Wan, Henry Ma"
WeWork China,$5B,$1B,Trustbridge Partners,China,Asia,Adam Neumann
Royole Corporation,$5B,$492M,Yingke Capital,China,Asia,Bill Liu
Cockroach Labs,$5B,$633M,Greenoaks,United States,North America,"Spencer Kimball, Peter Mattis, Ben Darnell"
Lenskart,$5B,$1B,Chrys Capital,India,Asia,"Peyush Bansal, Amit Chaudhary, Sumeet Kapahi"
PointClickCare,$5B,$230M,Hellman & Friedman,Canada,North America,"Dave Wessinger, Mike Wessinger"
ShareChat,$5B,$2B,Times Internet,India,Asia,"Farid Ahsan, Bhanu Pratap Singh, Ankush Sachdeva"
Coalition,$5B,$785M,Mitsui Sumitomo Insurance Company,United States,North America,"Joshua, John Hering"
Dream Games,$5B,$3B,CVC Capital Partners,Turkey,Europe,"Ikbal Namli, Hakan Saglam, Soner Aydemir, Serdar Yilmaz, Eren Sengul"
Neuralink,$5B,$686M,Founders Fund,United States,North America,"Benjamin Rapoport, Max Hodak"
NinjaOne,$5B,$762M,CapitalG, ICONIQ Growth,United States,"Sal Sferlazza, Chris Matarese"
Zepto,$5B,$2B,Motilal Oswal Wealth,India,Asia,"Aadit Palicha, Kaivalya Vohra"
DataDirect Networks,$5B,$310M,Blackstone Group,United States,North America,"Alex Bouzari, Paul Bloch"
Beast Industries,$5B,$450M,Alpha Wave Global,United States,North America,Jimmy Donaldson
Whatnot,$5B,$750M,avra, DST Global,United States,"Grant LaFontaine, Logan Head"
Sunwoda Electric Vehicle Battery,$5B,$2B,GAC Group, Li Auto,China,Ming Wang Wang
Mynt,$5B,$475M,Bow Wave Capital Management, Insight Partners,Philippines,Not Found
Reify Health,$5B,$479M,Altimeter Capital, Coatue,United States,"Ralph Passare, Michael Lin, Henry Li, Joseph Abrahamson"
Island,$5B,$810M,Coatue,United States,North America,Not Found
Creditas,$5B,$874M,Andbank,Brazil,South America,Sergio Furio
Cerebral,$5B,$462M,SoftBank Vision Fund,United States,North America,"Kyle Robertson, Ho Anh"
Chipone Technology,$5B,$1B,Oceanpine Capital,China,Asia,Zhang Jinfang
Qonto,$5B,$710M,TCV,France,Europe,"Alexandre Prot, Steve Anavi"
BetterUp,$5B,$570M,ICONIQ Growth, Lightspeed Venture Partners,United States,Not Found
Binance.US,$5B,$200M,,United States,North America,Not Found
Pleo,$5B,$428M,Coatue,Denmark,Europe,"Jeppe Rindom, Niccolo Perra"
Sonar,$5B,$457M,Advent International, General Catalyst,Switzerland,"Olivier Gaudin, Freddy Mallet, Simon Brandhof"
Glean,$5B,$618M,Altimeter, DST Global,United States,"Arvind Jain, T.R. Vishwanath, Tony Gentilcore, Piyush Prahladka"
Checkr,$5B,$679M,Durable Capital Partners,United States,North America,"Daniel Yanisse, Jonathan Perichon"
Color,$5B,$482M,Kindred Ventures, T. Rowe Price,United States,Jacob Olesen
Lendable,$5B,$286M,Ontario Teachers' Pension Plan,United Kingdom,Europe,"Victoria Van Lennep, Martin Kissinger, Paul Pamment, Jakob Schwarz"
wefox,$5B,$1B,Deutsche Bank, UniCredit,Germany,"Julian Teicke, Fabian Wesemann, Dario Fazlic"
iFood,$5B,$592M,Movile, Prosus & Naspers,Brazil,"Eduardo Baer, Felipe Ramos Fioravante, Gabriel Pinto, Guilherme Bonifacio, Michel Eberhardt, Patrick Sigrist"
Rapyd,$5B,$1B,Tal Ventures, Target Global,United Kingdom,"Arik Shtilman, Arkady Karpman, Omer Priel"
OneTrust,$5B,$1B,Generation Investment Management,United States,North America,Kabir Barday
Socure,$5B,$647M,Accel, T. Rowe Price,United States,Johnny Ayers
VIPKID,$5B,$1B,Tencent,China,Asia,"Cindy Mi, Jessie Chen, Victor Zhang"
Sierra,$5B,$285M,Greenoaks,United States,North America,"Bret Taylor, Clay Bavor, Ken Williams, Roberta Williams"
Tricentis,$5B,$2B,GTCR,United States,North America,"Wolfgang Platz, Gernot Obereder, Franz Fuchsberger"
Verkada,$5B,$644M,General Catalyst,United States,North America,"Filip Kaliszan, James Ren, Benjamin Bercovitz, Hans Robertson"
Manner,$5B,$0,Longzhu Capital,China,Asia,"Josef Manner, Sixtycents, Richard Leslie, Richard James, Ian Williams-Slaven, Spencer Leslie, Nancy Trott, Jacob Finestein"
Hugging Face,$5B,$395M,Salesforce Ventures,United States,North America,"Clément Delangue, Julien Chaumond, Thomas Wolf"
Guild,$4B,$643M,Wellington Management,United States,North America,"Rachel Romer, Brittany Stich"
Alan,$4B,$752M,Belfius Bank,France,Europe,"Jean-Charles Samuelian-Werve, Charles Gorintin, Allan Markin"
Zhiji Auto,$4B,$2B,Bank of China Financial Assets Investment,China,Asia,Not Found
Ruipeng Pet Healthcare,$4B,$37M,Nestlé Health Science,China,Asia,Yonghe Peng
Outreach,$4B,$489M,Premji Invest, Steadfast Capital Management,United States,"Manny Medina, Wes Hather, Andrew Kinzer"
Lightmatter,$4B,$822M,T. Rowe Price,United States,North America,"Nicholas Harris, Thomas Graham, Darius Bunandar"
Entrata,$4B,$707M,Blackstone Group,United States,North America,"David Bateman, Johnny Hanna, Ben Zimmer"
OutSystems,$4B,$802M,Kohlberg Kravis Roberts,United States,North America,Not Found
Sorare,$4B,$739M,SoftBank,France,Europe,"Nicolas Julia, Adrien Montfort"
Arctic Wolf,$4B,$498M,Owl Rock Capital,United States,North America,"Brian NeSmith, Kim Tremblay"
Voyah,$4B,$702M,,Japan,Asia,Not Found
Kakao Mobility,$4B,$1B,GS Retail,South Korea,Asia,Not Found
G-P/Globalization Partners,$4B,$350M,Vista Credit Partners,United States,North America,Nicole Sahin
ThoughtSpot,$4B,$664M,March Capital,United States,North America,"Ajeet Singh, Amit Prakash"
dbt Labs,$4B,$414M,Altimeter Capital,United States,North America,"Tristan Handy, Drew Banin"
Relativity Space,$4B,$1B,Fidelity,United States,North America,"Tim Ellis, Jordan Noone"
Armis,$4B,$737M,Alkeon Capital, General Catalyst,United States,"Yevgeny Dibrov, Nadir Izrael"
Zipline,$4B,$813M,Baillie Gifford, Katalyst Ventures,United States,"Keller Rinaudo, William Hetzler, Cliffton Keenan, Ryan Oksenhorn"
Hithium Energy Storage,$4B,$899M,Beijing Financial Street Capital Operation Center, China Life Private Equity Investment,China,"Jason Wang, Jeff Wu"
SSENSE,$4B,$0,HSG,Canada,North America,"Rami Atallah, Firas Atallah, Bassel Atallah"
Bitpanda,$4B,$554M,Valar Ventures,Austria,Europe,"Eric Demuth, Paul Klanschek, Christian Trummer"
Dataminr,$4B,$1B,HSBC, NightDragon,United States,Ted Bailey
AngelList,$4B,$170M,Accomplice, Tiger Global Management,United States,Naval Ravikant
SumUp,$4B,$989M,Sixth Street,United Kingdom,Europe,"Daniel Klein, Jan Deepen, Marc-Alexander Christ, Stefan Jeschonnek"
Weee!,$4B,$863M,SoftBank Vision Fund,United States,North America,"Larry Liu, Dr. Ying Chen"
Wealthsimple,$4B,$900M,Greylock, Meritech Capital Partners,Canada,"Michael Katchen, Brett Huneycutt, Som Seif, Rudy Adler"
Kraken,$4B,$421M,2B Global Capital, Venture Garage,United States,"Jesse Powell, Thanh Luu, Michael Gronager"
Cerebras Systems,$4B,$715M,Alpha Wave Ventures,United States,North America,"Andrew Feldman, Gary Lauterbach, Michael James, Sean Lie, Jean-Philippe Fricker"
Branch,$4B,$667M,New Enterprise Associates,United States,North America,Not Found
